Token,TokenAddress,Address,Amount,Tx
TDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x5A6fc337387A42Be4f8ebFEd7021ab6f6b8fe219,29,0x8e30d2bcc941a296b9530910943c84ae677df3d1b8c440edb5a1402e75785fa7
TDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0xF68dB3D7f27a689470DCBfbd7c10d238A90D33cA,29,0x3a89b877148b98dcf0eb70526568666920aefaccf0c8f49a31d337b4a9c231fa
TDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x6e093ddE02B70a9DA361b77845535b1F5d99beB9,29,0xd34b6753f08d87c990e930e73e13894deb1ed04a4e3bb2db91a9d9829f97ce8c
TDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0xaaB6960E787fd035F2F1FF27abf059d3741EEDe9,29,0x65ee4a179a2d3d60089abd02a46335c959e7beac9a6beb548897615950f2b5dd
TDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x403058f5333D85CC219a110Cdc4F4c2A87b7a1bC,29,0x159c0abbb20cbdaf95ae4d567183a9e6d660f568570676e9aa9de8532e02740b
TDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0xfe100bf0118880e4A6a4eeb1CfceE96d78e787f0,29,0x92cc8eef37ef94d06e27eef7f351889cb4190c2132e5b5758548fa3d664e853e
TDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0xA7ccA0B5A37F03daA30851a6F4efC139030B21AF,29,0x37eecb061602d719951075741509beeffed3febe870660b9ead4945eff10ed69
TDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0xC4880Aa38BE8173e1f58F68F656639F6da5De89B,29,0x9e59db64893842b1e36daed83b202184939decf9a789eed08b18de20d1018e1f
TDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x667ce558003932708703760c7be0b4f66Cf752b5,29,0x4107a937b08fe82380b45b7e4bea76c874a406d834d70127f42e6fab73826e0e
TDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x8713E5b79B836074C194C956Dd5f6f25f16f8299,29,0x8e3fb650dfa8f3c6efcc8ebb1c961dafd51201cb88445ec2c0e1c5862af1c153
TDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x793e8f3Be39a2d99cFE5C0f055092474a5Fd47A9,29,0x369c688e1c9035143e3134a023fd798def1f5a9e0859f5a100f1b2776bf2ab10
TDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0xF5c56812993efA4F07C1c4B4B819256012640f06,29,0xb0dace584a422796e966f28107a425feb76dfe8e92daf9629c23d95727759d77
TDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x946c0c7c361fa67fd90a97fBF38d05AF4BCF79Dd,29,0xb3c9bde48ab9bbe0e29bd637ed320cad1e7789bc10f9fc347f022b8c363ae9e9
TDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x738514D20Ce5b627224567B1181CEDcF6CBde697,29,0x96ebbf62a20e90564505946b3e3852f4fee622526131f1fcc17795363df50448
